"site","round","rep","species","start_date","NOTES","date","n_germ"
"MA","1","6","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","6","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","6","DC",2020-01-23,NA,2020-02-03,"0"
"MA","1","6","DC",2020-01-23,NA,2020-02-04,"0"
"MA","1","6","DC",2020-01-23,NA,2020-02-05,"0"
"MA","1","6","DC",2020-01-23,NA,2020-02-06,"0"
"MA","1","6","DC",2020-01-23,NA,2020-02-07,"0"
"MA","1","7","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","7","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","7","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","7","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","7","DC",2020-01-23,NA,2020-01-25,"3"
"MA","1","7","DC",2020-01-23,NA,2020-01-26,"3"
"MA","1","7","DC",2020-01-23,NA,2020-01-27,"1"
"MA","1","7","DC",2020-01-23,NA,2020-01-28,"0"
"MA","1","7","DC",2020-01-23,NA,2020-01-29,"1"
"MA","1","7","DC",2020-01-23,NA,2020-01-30,"7"
"MA","1","7","DC",2020-01-23,NA,2020-01-31,"4"
"MA","1","7","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","7","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","7","DC",2020-01-23,NA,2020-02-03,"7"
"MA","1","7","DC",2020-01-23,NA,2020-02-04,"0"
"MA","1","7","DC",2020-01-23,NA,2020-02-05,"1"
"MA","1","7","DC",2020-01-23,NA,2020-02-06,"1"
"MA","1","7","DC",2020-01-23,NA,2020-02-07,"1"
"MA","1","8","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","8","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","8","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","8","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","8","DC",2020-01-23,NA,2020-01-25,"0"
"MA","1","8","DC",2020-01-23,NA,2020-01-26,"2"
"MA","1","8","DC",2020-01-23,NA,2020-01-27,"6"
"MA","1","8","DC",2020-01-23,NA,2020-01-28,"3"
"MA","1","8","DC",2020-01-23,NA,2020-01-29,"0"
"MA","1","8","DC",2020-01-23,NA,2020-01-30,"1"
"MA","1","8","DC",2020-01-23,NA,2020-01-31,"3"
"MA","1","8","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","8","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","8","DC",2020-01-23,NA,2020-02-03,"2"
"MA","1","8","DC",2020-01-23,NA,2020-02-04,"2"
"MA","1","8","DC",2020-01-23,NA,2020-02-05,"3"
"MA","1","8","DC",2020-01-23,NA,2020-02-06,"2"
"MA","1","8","DC",2020-01-23,NA,2020-02-07,"0"
